Soup
86.King Prawn with Garlic
"87.Special Mixed Seafood with Vegetable (Consists of King prawn, Mussels & Squid) ¡ê6. 00"
88.Curry Chicken & Chips ¡ê5.50
89.Curry Beef & Chips ¡ê5.50
90.Curry Duck & Chips ¡ê6.00
91.Curry Mixed Vegetable & Chips (v) ¡ê5.00
92.Curry Mushroom & Chips (v) ¡ê5.00
93.Curry Roast Pork & Chips ¡ê5.50
94.Curry King Prawn & Chips ¡ê6.00
95.Special Curry & Chips ¡ê6.00
96.Lamb with Ginger & Spring Onions ¡ê5.50
97.Lamb with Green Pepper in Black Bean Sauce ¡ê5.50
98.Lamb with Black Pepper & Honey Sauce ¡ê5.50
99.Lamb with Curry Sauce ¡ê5.50
100.King Prawn Foo Yung ¡ê6.00
101.Shrimp Foo Yung ¡ê4.50
102.Mushroom Foo Yung ¡ê4.00
103.Chicken Foo Yung ¡ê4.50
104.Roast Pork Foo Yung ¡ê4.50
105.Special Foo Yung ¡ê5.00
106.Chicken Chop Suey ¡ê4.50
107.King Prawn Chop Suey ¡ê6.00
108.Shrimp Chop Suey ¡ê4.50
109.Mushroom Chop Suey ¡ê4.00
110.Beef Chop Suey ¡ê4.50
111.Roast Pork Chop Suey ¡ê4.50
112.Special Chop Suey ¡ê5.00
113.Boiled Rice ¡ê2.00
114.Egg Fried Rice ¡ê2.50
115.Chicken and Ham Fried Rice ¡ê4.50
116.Chicken Fried Rice ¡ê4.50
117.Beef Fried Rice ¡ê4.50
118.Shrimp Fried Rice ¡ê4.50
119.King Prawn Fried Rice ¡ê6.00
120.Duck Fried Rice ¡ê5.00
121.Singapore Fried Rice ¡ê5.00
122.Special Fried Rice ¡ê5.00
123.Mushroom Fried Rice ¡ê4.00
124.Vegetable Fried Rice ¡ê4.00
125.Roast Pork Fried Rice ¡ê4.50
126.Seafood Fried Rice ¡ê6.00
127.Plain Chow Mein ¡ê3.00
128.Chicken Chow Mein ¡ê4.50
129.Beef Chow Mein ¡ê4.50
130.Roast Pork Chow Mein ¡ê4.50
131.Roast Duck Chow Mein ¡ê5.00
132.Mushroom Chow Mein ¡ê4.00
133.Vegetable Chow Mein ¡ê4.00
134.Shrimp Chow Mein ¡ê4.50
135.King Prawn Chow Mein ¡ê6.00
136.Singapore Chow Mein ¡ê5.00
137.Special Chow Mein ¡ê5.00
138.Special Fried Rice Noodles ¡ê5.00
139.Seafood Fried Rice Noodles ¡ê6.00
140.Singapore Fried Rice Noodles ¡ê5.00
141.Beef Fried Ho Fun ¡ê6.00
142.Seafood Fried Udon ¡ê6.00
143.Won Ton Soup Noodle ¡ê5.50
"144.Chicken, Beef & Roast Pork Soup Noodle ¡ê5.50"
145.Shredded Duck Soup Noodle ¡ê5.50
146.King Prawn Soup Noodle ¡ê6.00
147.Seafood Soup Noodle ¡ê6.00
148.Fried Mixed Vegetables ¡ê4.00
149.Fried Beansprouts ¡ê4.00
150.Fried Mushrooms ¡ê4.00
151.Fried Broccoli with Oyster Sauce ¡ê5.00
152.Ma Po Tofu ¡ê5.00
"153.Roast Triple Crown (Consists of Ribs, Roast Duck, Crispy Chicken in BBQ Sauce) ¡ê5.50"
"154.Four Seasons (Consists of Duck, Prawn, Chicken & Roast Pork) ¡ê5.00"
"155.Wandering Dragon (Hot) (Consists of Prawn, Chicken, Duck in Black Bean Sauce) ¡ê5.00"
156.Chips ¡ê2.00
157.Banana Fritter ¡ê3.50
158.Pineapple Fritter ¡ê3.50
159.Sweet & Sour Sauce ¡ê1.50
160.Curry Sauce ¡ê1.50
161.Barbecued Sauce ¡ê1.50
162.Lemon Sauce ¡ê1.50
163.Hoi Sin Sauce ¡ê1.50
164.Thai Sweet Chilli Sauce ¡ê1.50
A.For One Person ¡ê8.99
  Mini Spring Rolls
  Fried Chicken with Green Peppers in Black Bean Sauce
  Roast Pork Chop Suey
  Egg Fried Rice
B.For Two Persons ¡ê16.99
  Mini Spring Rolls
  Roast pork with Black Pepper and Honey Sauce
  Sweet & Sour Chicken Cantonese Style
  Beef with Ginger & Spring Onion
  Egg Fried Rice (2)
  Prawn Crackers
C.For Three Persons ¡ê23. 99
"  Roast Triple Crown (Consists of Chicken, Duck & Spare Ribs with"
  Barbecued Sauce)
  Special Chop Suey
  Beef with Green Pepper in Black Bean Sauce
  Sweet & Sour Chicken Cantonese Style
  Roast Pork with Mushrooms
  Egg Fried Rice (3)
  Prawn Crackers
D.For Three Persons ¡ê35. 99
"  1/4 Crispy Aromatic Duck (Served with Pancakes, Spring Onions, Cucumber &"
  Hoi Sin Sauce)
  Roast Duck with Mushrooms
"  King Prawn with Chilli, Salt & Pepper"
  Crispy Shredded Beef in Chilli Sauce
  Chicken with Green Peppers in Black Bean Sauce
  Spare Ribs in Barbecued Sauce
  Szechuan Chicken
  Egg Fried Rice (4)
  Prawn Crackers
